紅2	44	46
	捷運關渡站	去	25.124400,121.467267
	關渡	返	25.125633,121.465533
	關渡大橋	返	25.126790,121.452000
	艋舺橋	返	25.127460,121.452000
	大福社區	返	25.130360,121.451300
	龍形	返	25.132900,121.451100
	聖心女中	返	25.135280,121.450100
	張厝	返	25.098112,121.418288
	烏山頭	返	25.141230,121.447700
	聖心別墅	返	25.144380,121.446500
	米倉國小一	返	
	米倉國小	返	25.147650,121.445200
	觀音路口	返	25.149790,121.443400
	米倉里	返	25.153630,121.440000
	水雲山莊	返	25.155770,121.436900
	渡船頭	返	25.158230,121.434100
	下街仔	返	25.158390,121.431400
	左岸公園左岸碼頭	返	
	水興公	返	
	雷朗園區	返	
	挖子尾自然保留區	返	
	十三行文化公園	返	
	八里污水處理廠	返	
	十三行博物館	返	
	田心(十三行博物館)	返	25.155890,121.408600
	仁愛街口	返	25.091833,121.471667
	山海觀	返	25.152950,121.406100
	中廣公司	返	25.151865,121.405474
	八里國小	返	25.149840,121.404300
	八里服務站	返	25.148910,121.402900
	八里區公所	返	25.148590,121.401800
	舊城里	返	25.147720,121.400200
	八里	返	25.146930,121.398400
	土地公廟	返	25.054470,121.596082
	廈竹圍	返	25.143970,121.393700
	八仙橋頭	返	25.142940,121.391900
	八仙樂園	返	25.141980,121.390700
紅15	25	14
	職能發展學院二	去	25.113436,121.539254
	忠孝新村	去	25.111190,121.539730
	芝山國小	去	25.110470,121.537160
	芝山里	去	25.109720,121.533730
	忠義街	去	25.108455,121.532674
	聯合醫院陽明院區	去	25.105783,121.531151
	雨農國小	去	25.105555,121.528583
	忠誠公園	去	25.104292,121.525569
	德行(中山忠誠路口)	去	25.103354,121.524957
	福林橋	去	25.097202,121.527404
	捷運士林站(中正)	去	25.095580,121.526750
	士林國中	去	25.094803,121.523351
	士林區行政中心(中正)	去	25.093771,121.520366
	陽明高中	去	25.091803,121.517360
	社子市場	去	25.087506,121.509074
	社正路	去	25.088835,121.509896
	國泰人壽大樓	去	25.090570,121.509540
	社子公園	去	25.091796,121.507024
	永平路口	去	25.092367,121.504647
	永倫里	去	25.091683,121.502143
	社子國小二	去	25.090018,121.502082
	社子國小	去	25.089610,121.502814
	社新里	去	25.089218,121.504401
	社子派出所	去	25.089333,121.505615
	社子市場二	去	25.089235,121.507597
	社子市場	返	25.088046,121.508717
	陽明高中	返	25.092018,121.517976
	士林區行政中心(中正)	返	25.092838,121.519436
	士林國中	返	25.094668,121.523382
	捷運士林站(中正)	返	25.095252,121.525805
	福林橋	返	25.096853,121.527743
	忠誠公園	返	25.104034,121.525780
	雨農國小	返	25.105296,121.528740
	聯合醫院陽明院區	返	25.105503,121.530894
	忠義街	返	25.108340,121.532840
	芝山里	返	25.109660,121.533770
	芝山國小	返	25.110140,121.536738
	忠孝新村	返	25.111200,121.539800
	職能發展學院二	返	25.113532,121.539350
紅19	11	9
	天母	去	25.124312,121.532521
	農訓協會	去	25.122540,121.531880
	天母新村	去	25.121271,121.531352
	天母廣場	去	25.119230,121.530637
	齊福華廈	去	25.118467,121.528917
	齊賢華廈	去	25.118500,121.525000
	榮總一	去	25.119000,121.521667
	榮總	去	25.118500,121.518333
	永明派出所	去	25.116941,121.516224
	綜合市場	去	25.115883,121.515505
	捷運石牌站(西安)	去	25.114833,121.515000
	捷運石牌站(東華)	返	25.115100,121.515583
	綜合市場	返	25.116250,121.516033
	永明派出所	返	25.117359,121.516460
	榮總	返	25.118617,121.520167
	齊賢華廈	返	25.118567,121.525700
	齊福華廈	返	25.118467,121.528917
	天母廣場	返	25.119173,121.530815
	天母新村	返	25.121295,121.531620
	天母	返	25.124351,121.532779
紅22	40	38
